seed,model,variant,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,DI,DPD,EOD
44,NeuralNet,in_process,0.8111787493082457,0.7543832149978253,0.6142674070909867,0.6416778224007139,0.627673505019642,0.8594513139070528,0.1575170737998878,0.30058088988546383,0.41629797562714116
45,NeuralNet,in_process,0.8066408411732153,0.7583933023823288,0.5997576736672051,0.6626506024096386,0.6296374814500743,0.8624172219575321,0.14831551388513883,0.32271566607828234,0.46557278730425883
46,NeuralNet,in_process,0.8184836745987825,0.7426436850006903,0.6463711641500244,0.5921463632307006,0.6180717279925477,0.860674306817431,0.14737349315389764,0.26799229605246405,0.3686465558657201
42,NeuralNet,post,0.8029883785279469,0.6850920510616699,0.6476617552850736,0.45113788487282463,0.5318253550762756,0.8649793627130115,0.970325272479564,0.0051768995051227895,0.1594535103887662
43,NeuralNet,post,0.7846153846153846,0.7477850761302496,0.5540491022352511,0.6746987951807228,0.6084507042253521,0.8619259033320342,0.68939723371406,0.10434908478765223,0.01178450649827767
44,NeuralNet,post,0.806087437742114,0.6684626511803928,0.6905689789555729,0.39535921463632306,0.5028376844494892,0.8594513139070528,0.8133526068787791,0.02821592006193896,0.09130245015998417
45,NeuralNet,post,0.800442722744881,0.736329578937869,0.5955497382198953,0.6091030789825971,0.6022501654533422,0.8624172219575321,0.7635004194494482,0.0649898830960362,0.04770794017628088
46,NeuralNet,post,0.7674598782512452,0.7475919771717623,0.523071852340145,0.7081659973226239,0.6017061611374408,0.860674306817431,0.8204204641548435,0.06404090678196678,0.0649937670542502
42,NeuralNet,pre,0.8019922523519646,0.7668154054086362,0.5845808383233533,0.6970102632753236,0.6358640341949928,0.865067964922195,0.19379217078359057,0.32306475399326195,0.39688007309973655
43,NeuralNet,pre,0.7929164360819037,0.7681071651930063,0.564866760168303,0.7188755020080321,0.6326330257215786,0.8619162155441509,0.24419859831045584,0.316249414184574,0.317023006948871
44,NeuralNet,pre,0.8091864969562811,0.7584412487223614,0.6063348416289592,0.6577420794288265,0.6309931506849316,0.8604647550395215,0.17914298602537784,0.3012097060625028,0.40351023176510115
45,NeuralNet,pre,0.8198118428334256,0.7454705815050343,0.6482825350749879,0.5979473449352968,0.6220984215413184,0.862964401353164,0.11452278521683616,0.284415455609152,0.44583146240293403
46,NeuralNet,pre,0.8183729939125622,0.7394301636599057,0.6491053677932406,0.5827755466309683,0.614154714319304,0.8603267286921539,0.15654813829903433,0.2587470787411882,0.36115289086221897
42,RandomForest,in_process,0.8085224128389596,0.7541121539768467,0.6071278825995807,0.6461401160196341,0.6260268050151319,0.8427753141240591,0.21003334289401981,0.28054890626193685,0.3476555017913832
43,RandomForest,in_process,0.8081903707802989,0.750751443940154,0.6082693947144076,0.6367692994199018,0.6221931545672553,0.8513187279586406,0.21604087193460492,0.2731452938414436,0.2979410868875777
44,RandomForest,in_process,0.8075262866629773,0.7440300238667685,0.6106701940035273,0.6180276662204373,0.6143269017520514,0.8385561018811123,0.20974841935398536,0.2669156019233957,0.32165611095585445
45,RandomForest,in_process,0.8012174875484228,0.7503015693428212,0.59026369168357,0.6492637215528781,0.6183595410114747,0.8424670454296169,0.17349013384435727,0.308298072717509,0.3794733553344281
46,RandomForest,in_process,0.8085224128389596,0.745140933997331,0.61280353200883,0.6193663543061133,0.6160674656014203,0.838490684682931,0.1978874598790971,0.27197388636990116,0.3126740750277107
42,RandomForest,post,0.8075262866629773,0.6623919220531752,0.7134353741496599,0.37438643462739846,0.4910740415569213,0.8427753141240591,0.7599936864491261,0.033881855380767725,0.05261736621146795
43,RandomForest,post,0.8057553956834532,0.6607658514869342,0.7048903878583473,0.37304774654172246,0.48789028304639626,0.8513187279586406,0.9680446981000528,0.0042387013013702735,0.13159522590895817
44,RandomForest,post,0.8025456557830658,0.6847976736698536,0.6460063897763578,0.45113788487282463,0.5312664214398318,0.8385561018811123,0.8124613987284286,0.034592708055503824,0.06445682311308171
45,RandomForest,post,0.8077476480354178,0.686611884360784,0.6684491978609626,0.4462293618920125,0.5351886540005352,0.8424670454296169,0.7711393317132745,0.040939004607446705,0.03552812428490122
46,RandomForest,post,0.8102933038184836,0.662437536756124,0.7338065661047027,0.36903168228469435,0.4910926365795725,0.838490684682931,0.7777268724662724,0.02988423751068317,0.09057553482442565
42,RandomForest,pre,0.8096292197011622,0.749465365468678,0.6131133304385584,0.6300758589915216,0.6214788732394366,0.8467650407340283,0.2349405325533403,0.2595356678385209,0.31822249575311884
43,RandomForest,pre,0.8160486995019369,0.746706381999394,0.6345885634588564,0.6091030789825971,0.6215846994535519,0.8504988783840427,0.23786883567929296,0.24117283934070577,0.26191089242595045
44,RandomForest,pre,0.8090758162700609,0.7381824094204968,0.6193339500462535,0.5975011155734047,0.6082216670451964,0.84346567574061,0.24609693816419537,0.23893992761577476,0.28346087060279024
45,RandomForest,pre,0.812174875484228,0.7493637914757187,0.6205673758865248,0.6247211066488175,0.6226373137647321,0.8451875404670395,0.2109774139986376,0.26494806626181183,0.3435954519906176
46,RandomForest,pre,0.8086330935251799,0.7462611706762285,0.612379280070237,0.6224899598393574,0.6173932285903961,0.8426028058198187,0.24235354223433245,0.2534183921695297,0.2917159911953754
