model,comparison,metric,pre_mean,comp_mean,mean_diff,t_stat,p_value
LogisticRegression,pre_vs_post,precision,0.6025257464732253,0.573721543767184,-0.028804202706041337,0.8412946412833816,0.447537329326851
LogisticRegression,pre_vs_post,recall,0.607318161535029,0.5640339134315038,-0.04328424810352527,0.6342294604302008,0.5603903402349304
LogisticRegression,pre_vs_post,roc_auc,0.8443755199386498,0.847939627544949,0.003564107606299216,-17.625737820883348,6.085544186890734e-05
NeuralNet,pre_vs_in_process,DI,0.4120326353567648,0.3244176391209084,-0.08761499623585645,5.652939405076848,0.0048247797877604215
NeuralNet,pre_vs_in_process,DPD,0.18856586575813336,0.22475783317316952,0.036191967415036164,-5.712193757226202,0.004645528170521502
NeuralNet,pre_vs_in_process,EOD,0.1596444237900706,0.23209637358738208,0.07245194979731148,-7.055522990045384,0.002128145355370158
NeuralNet,pre_vs_in_process,accuracy,0.8079247371333702,0.8087659103486443,0.0008411732152741047,-0.1957255325931585,0.8543657435393873
NeuralNet,pre_vs_in_process,balanced_accuracy,0.7500664483728917,0.751821928081278,0.0017554797083862983,-0.39608483853407367,0.7122618806642971
NeuralNet,pre_vs_in_process,f1,0.6212164240858028,0.6233761167066485,0.002159692620845699,-0.6941501218688354,0.5257942188925008
NeuralNet,pre_vs_in_process,precision,0.608547709109223,0.6113858517678243,0.0028381426586013836,-0.18734380093339598,0.8605101682315742
NeuralNet,pre_vs_in_process,recall,0.6352521195894689,0.638821954484605,0.0035698348951360703,-0.16665220095760216,0.8757288071506167
NeuralNet,pre_vs_in_process,roc_auc,0.858090708432789,0.8594293045665802,0.00133859613379117,-1.4665644248179404,0.2163838391658694
NeuralNet,pre_vs_post,DI,0.4120326353567648,0.8606953877457425,0.4486627523889777,-12.27618201792708,0.00025288695204255646
NeuralNet,pre_vs_post,DPD,0.18856586575813336,0.04117468223003458,-0.14739118352809877,15.350447452589352,0.00010507001546107754
NeuralNet,pre_vs_post,EOD,0.1596444237900706,0.08445657203525446,-0.07518785175481614,3.062440248691312,0.037568912593516794
NeuralNet,pre_vs_post,accuracy,0.8079247371333702,0.7740785832872163,-0.03384615384615386,2.1562743693024826,0.09729453335899851
NeuralNet,pre_vs_post,balanced_accuracy,0.7500664483728917,0.7277706252347237,-0.022295823138168025,1.8384138430900674,0.13985549070740705
NeuralNet,pre_vs_post,f1,0.6212164240858028,0.5781903656072223,-0.04302605847858054,2.6303204438432193,0.058166677614011855
NeuralNet,pre_vs_post,precision,0.608547709109223,0.5589963251289398,-0.04955138398028314,1.3935201688093835,0.235900791286271
NeuralNet,pre_vs_post,recall,0.6352521195894689,0.6358768406961178,0.0006247211066489067,-0.010657576850765056,0.9920070065015394
NeuralNet,pre_vs_post,roc_auc,0.858090708432789,0.8594293045665802,0.00133859613379117,-1.4665644248179404,0.2163838391658694
RandomForest,pre_vs_in_process,DI,0.32071057573381057,0.2672520335465359,-0.05345854218727464,5.726560091089019,0.004603303986319153
RandomForest,pre_vs_in_process,DPD,0.22287413222250668,0.23722308074803883,0.014348948525532146,-3.9035489803824532,0.01748890154055781
RandomForest,pre_vs_in_process,EOD,0.23884522512395243,0.2680242032976522,0.02917897817369977,-2.7987779585979258,0.048872396506680196
RandomForest,pre_vs_in_process,accuracy,0.8020586607636966,0.8106253458771444,0.008566685113447825,-3.88136965876791,0.017820549878218156
RandomForest,pre_vs_in_process,balanced_accuracy,0.7398561898790662,0.7450440232785391,0.00518783339947293,-3.0874063758488868,0.03666659959425056
RandomForest,pre_vs_in_process,f1,0.6070339104225899,0.6169488128415815,0.009914902418991622,-4.099015540349659,0.014865005378225856
RandomForest,pre_vs_in_process,precision,0.5981490149558066,0.6191670922307726,0.021018077274965963,-3.521409059540799,0.024418981889292056
RandomForest,pre_vs_in_process,recall,0.616421240517626,0.6149040606871932,-0.0015171798304328687,0.27736855551110506,0.795241809209339
RandomForest,pre_vs_in_process,roc_auc,0.834700145559834,0.843854553398233,0.009154407838399048,-11.877485079281215,0.00028774241918927624
RandomForest,pre_vs_post,DI,0.32071057573381057,0.8036192859070683,0.48290871017325776,-40.94636847791581,2.126007438067037e-06
RandomForest,pre_vs_post,DPD,0.22287413222250668,0.034309059465235964,-0.18856507275727072,41.50088386512688,2.014849872940981e-06
RandomForest,pre_vs_post,EOD,0.23884522512395243,0.0711149279835714,-0.167730297140381,6.430570760099461,0.0030074004104011965
RandomForest,pre_vs_post,accuracy,0.8020586607636966,0.8037188710570005,0.0016602102933038765,-0.6216631984096966,0.5678408808490897
RandomForest,pre_vs_post,balanced_accuracy,0.7398561898790662,0.6812715881679992,-0.05858460171106705,8.273241373920994,0.0011649021486611548
RandomForest,pre_vs_post,f1,0.6070339104225899,0.5240552621795584,-0.08297864824303147,6.858469829380891,0.002366287937376064
RandomForest,pre_vs_post,precision,0.5981490149558066,0.6613886477871753,0.06323963283136869,-3.17846547688811,0.03358447258072919
RandomForest,pre_vs_post,recall,0.616421240517626,0.4382864792503347,-0.17813476126729133,7.060743923324353,0.0021222480186768814
RandomForest,pre_vs_post,roc_auc,0.834700145559834,0.843854553398233,0.009154407838399048,-11.877485079281215,0.00028774241918927624
